oq,q,rvnm,stcd,stnm,tm,wptn,z
0,6880,金沙江,60103400,向家坝,1756656000000,4,271.02
0,6480,金沙江,60103400,向家坝,1756659600000,4,270.68
0,5750,金沙江,60103400,向家坝,1756663200000,4,270.04
0,4950,金沙江,60103400,向家坝,1756666800000,4,269.33
0,4670,金沙江,60103400,向家坝,1756670400000,4,269.04
0,4500,金沙江,60103400,向家坝,1756674000000,4,268.89
0,4390,金沙江,60103400,向家坝,1756677600000,4,268.79
0,4380,金沙江,60103400,向家坝,1756681200000,4,268.78
0,5190,金沙江,60103400,向家坝,1756688400000,5,269.51
0,5810,金沙江,60103400,向家坝,1756695600000,5,270.06
0,5830,金沙江,60103400,向家坝,1756699200000,5,270.08
0,5920,金沙江,60103400,向家坝,1756702800000,5,270.16
0,5970,金沙江,60103400,向家坝,1756706400000,5,270.23
