rvnm,stcd,stnm,tm,wptn,z
长江,60106000,万县,1735660800000,6,168.280
长江,60106000,万县,1735664400000,5,168.290
长江,60106000,万县,1735668000000,6,168.290
长江,60106000,万县,1735671600000,5,168.310
长江,60106000,万县,1735675200000,5,168.320
长江,60106000,万县,1735678800000,5,168.330
长江,60106000,万县,1735682400000,6,168.330
长江,60106000,万县,1735686000000,6,168.330
长江,60106000,万县,1735693200000,6,168.330
长江,60106000,万县,1735696800000,5,168.340
长江,60106000,万县,1735700400000,4,168.330
长江,60106000,万县,1735704000000,5,168.340
长江,60106000,万县,1735707600000,6,168.340
长江,60106000,万县,1735711200000,5,168.350
长江,60106000,万县,1735714800000,5,168.360
长江,60106000,万县,1735718400000,6,168.360
长江,60106000,万县,1735722000000,5,168.380
长江,60106000,万县,1735725600000,4,168.370
长江,60106000,万县,1735729200000,5,168.380
长江,60106000,万县,1735732800000,4,168.350
长江,60106000,万县,1735736400000,4,168.330
长江,60106000,万县,1735740000000,6,168.330
长江,60106000,万县,1735743600000,6,168.330
长江,60106000,万县,1735747200000,4,168.320
长江,60106000,万县,1735750800000,4,168.310
长江,60106000,万县,1735754400000,5,168.320
长江,60106000,万县,1735758000000,6,168.320
长江,60106000,万县,1735761600000,5,168.340
长江,60106000,万县,1735765200000,6,168.340
长江,60106000,万县,1735768800000,5,168.350
长江,60106000,万县,1735772400000,6,168.350
长江,60106000,万县,1735779600000,4,168.340
长江,60106000,万县,1735783200000,6,168.340
长江,60106000,万县,1735786800000,5,168.350
长江,60106000,万县,1735790400000,6,168.350
长江,60106000,万县,1735794000000,4,168.340
长江,60106000,万县,1735797600000,6,168.340
长江,60106000,万县,1735801200000,5,168.350
长江,60106000,万县,1735804800000,6,168.350
长江,60106000,万县,1735808400000,6,168.350
长江,60106000,万县,1735812000000,5,168.360
长江,60106000,万县,1735815600000,6,168.360
长江,60106000,万县,1735819200000,4,168.350
长江,60106000,万县,1735822800000,4,168.320
长江,60106000,万县,1735826400000,5,168.330
长江,60106000,万县,1735830000000,4,168.320
长江,60106000,万县,1735833600000,6,168.320
长江,60106000,万县,1735837200000,6,168.320
长江,60106000,万县,1735840800000,6,168.320
长江,60106000,万县,1735844400000,6,168.320
长江,60106000,万县,1735848000000,5,168.340
长江,60106000,万县,1735851600000,5,168.350
长江,60106000,万县,1735855200000,6,168.350
长江,60106000,万县,1735858800000,5,168.360
长江,60106000,万县,1735866000000,5,168.360
长江,60106000,万县,1735869600000,4,168.350
6540,长江,60106000,万县,1735869720000,6,168.350
长江,60106000,万县,1735873200000,6,168.350
长江,60106000,万县,1735876800000,4,168.330
长江,60106000,万县,1735880400000,5,168.340
长江,60106000,万县,1735884000000,5,168.350
长江,60106000,万县,1735887600000,4,168.330
长江,60106000,万县,1735891200000,6,168.330
长江,60106000,万县,1735894800000,5,168.350
长江,60106000,万县,1735898400000,5,168.360
长江,60106000,万县,1735902000000,4,168.340
长江,60106000,万县,1735905600000,6,168.340
长江,60106000,万县,1735909200000,6,168.340
长江,60106000,万县,1735912800000,4,168.330
长江,60106000,万县,1735916400000,6,168.330
长江,60106000,万县,1735920000000,4,168.310
长江,60106000,万县,1735923600000,4,168.300
长江,60106000,万县,1735927200000,5,168.320
长江,60106000,万县,1735930800000,6,168.320
长江,60106000,万县,1735934400000,4,168.310
长江,60106000,万县,1735938000000,5,168.340
长江,60106000,万县,1735941600000,5,168.350
长江,60106000,万县,1735945200000,4,168.340
长江,60106000,万县,1735952400000,4,168.330
长江,60106000,万县,1735956000000,5,168.340
长江,60106000,万县,1735959600000,4,168.330
长江,60106000,万县,1735963200000,6,168.330
长江,60106000,万县,1735966800000,4,168.320
长江,60106000,万县,1735970400000,5,168.330
长江,60106000,万县,1735974000000,5,168.340
长江,60106000,万县,1735977600000,5,168.350
长江,60106000,万县,1735981200000,5,168.370
长江,60106000,万县,1735984800000,4,168.360
长江,60106000,万县,1735988400000,6,168.360
长江,60106000,万县,1735992000000,4,168.350
长江,60106000,万县,1735995600000,5,168.360
长江,60106000,万县,1735999200000,6,168.360
长江,60106000,万县,1736002800000,5,168.370
长江,60106000,万县,1736006400000,6,168.370
长江,60106000,万县,1736010000000,4,168.350
长江,60106000,万县,1736013600000,5,168.360
长江,60106000,万县,1736017200000,6,168.360
长江,60106000,万县,1736020800000,5,168.380
长江,60106000,万县,1736024400000,5,168.390
长江,60106000,万县,1736028000000,4,168.380
长江,60106000,万县,1736031600000,5,168.390
长江,60106000,万县,1736038800000,5,168.420
长江,60106000,万县,1736042400000,4,168.410
长江,60106000,万县,1736046000000,5,168.420
长江,60106000,万县,1736049600000,6,168.420
长江,60106000,万县,1736053200000,4,168.410
长江,60106000,万县,1736056800000,5,168.420
长江,60106000,万县,1736060400000,5,168.440
长江,60106000,万县,1736064000000,6,168.440
长江,60106000,万县,1736067600000,6,168.440
长江,60106000,万县,1736071200000,5,168.460
长江,60106000,万县,1736074800000,5,168.470
长江,60106000,万县,1736078400000,4,168.440
长江,60106000,万县,1736082000000,4,168.430
长江,60106000,万县,1736085600000,6,168.430
长江,60106000,万县,1736089200000,4,168.420
长江,60106000,万县,1736092800000,5,168.430
长江,60106000,万县,1736096400000,6,168.430
长江,60106000,万县,1736100000000,5,168.440
