tm,wptn,z,stcd,stnm,www,rvnm
1786201200000,5,89.43,61802600,王家营(三),2,汉江
1786204800000,4,89.37,61802600,王家营(三),2,汉江
1786208400000,5,89.43,61802600,王家营(三),2,汉江
1786212000000,4,89.42,61802600,王家营(三),2,汉江
1786215600000,6,89.42,61802600,王家营(三),2,汉江
1786219200000,4,89.32,61802600,王家营(三),2,汉江
1786222800000,4,89.16,61802600,王家营(三),2,汉江
1786226400000,4,89.06,61802600,王家营(三),2,汉江
1786230000000,4,89.0,61802600,王家营(三),2,汉江
1786240800000,4,88.95,61802600,王家营(三),2,汉江
1786244400000,4,88.92,61802600,王家营(三),2,汉江
1786251600000,5,88.89,61802600,王家营(三),2,汉江
1786255200000,5,89.13,61802600,王家营(三),2,汉江
