q,tm,wptn,z,stcd,stnm,www,rvnm
1.73,1786201200000,6,78.8,62018710,琚湾,1,汉江
1.49,1786204800000,4,78.79,62018710,琚湾,1,汉江
1.73,1786208400000,5,78.8,62018710,琚湾,1,汉江
1.73,1786212000000,6,78.8,62018710,琚湾,1,汉江
1.49,1786215600000,4,78.79,62018710,琚湾,1,汉江
1.73,1786219200000,5,78.8,62018710,琚湾,1,汉江
1.73,1786222800000,6,78.8,62018710,琚湾,1,汉江
1.73,1786226400000,6,78.8,62018710,琚湾,1,汉江
