oq,q,stcd,stnm,tm,wptn,z,rvnm
0,1910,60802700,彭水,1786197600000,5,215.71,乌江
0,1460,60802700,彭水,1786201200000,4,215.39,乌江
0,1100,60802700,彭水,1786204800000,4,215.04,乌江
0,1890,60802700,彭水,1786208400000,5,215.53,乌江
0,1620,60802700,彭水,1786212000000,4,215.47,乌江
0,717,60802700,彭水,1786215600000,4,214.6,乌江
0,460,60802700,彭水,1786219200000,4,213.91,乌江
0,436,60802700,彭水,1786222800000,4,213.76,乌江
0,466,60802700,彭水,1786226400000,4,213.66,乌江
