q,tm,wptn,z,stcd,stnm,www,rvnm
279.0,1786201200000,4,238.28,61812100,向家坪(二),1,汉江
277.0,1786204800000,4,238.27,61812100,向家坪(二),1,汉江
277.0,1786208400000,6,238.27,61812100,向家坪(二),1,汉江
273.0,1786212000000,4,238.25,61812100,向家坪(二),1,汉江
275.0,1786215600000,5,238.26,61812100,向家坪(二),1,汉江
277.0,1786219200000,5,238.27,61812100,向家坪(二),1,汉江
