oq,q,stcd,stnm,tm,wptn,z,rvnm
,36800,60116300,南京,1786201200000,4,5.73,长江干流
,35000,60116300,南京,1786204800000,4,5.72,长江干流
,33900,60116300,南京,1786208400000,5,5.75,长江干流
