kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,沅江,240,1,61506600,周文庙,0,1786201200000,5,4,30.71
1,0,0,沅江,240,1,61506600,周文庙,0,1786204800000,5,5,30.72
1,0,0,沅江,240,1,61506600,周文庙,0,1786208400000,5,6,30.72
1,0,0,沅江,240,1,61506600,周文庙,0,1786212000000,5,5,30.73
1,0,0,沅江,240,1,61506600,周文庙,0,1786215600000,5,4,30.7
1,0,0,沅江,240,1,61506600,周文庙,0,1786219200000,5,6,30.7
1,0,0,沅江,240,1,61506600,周文庙,0,1786222800000,5,6,30.7
