oq,rvnm,stcd,stnm,tm,wptn,z
18400,长江干流,60106980,三峡水库,1751266800000,6,152.260
22900,长江干流,60106980,三峡水库,1751331600000,4,151.640
19700,长江干流,60106980,三峡水库,1751338800000,5,151.710
19700,长江干流,60106980,三峡水库,1751342400000,5,151.740
19700,长江干流,60106980,三峡水库,1751346000000,5,151.800
19700,20600,长江干流,60106980,三峡水库,1751349600000,6,151.800
