tm,wptn,z,stcd,stnm,www,rvnm
1790078400000,5,89.02,61802600,王家营(三),2,汉江
1790114400000,6,88.71,61802600,王家营(三),2,汉江
1790125200000,6,88.71,61802600,王家营(三),2,汉江
1790143200000,6,88.7,61802600,王家营(三),2,汉江
1790164800000,4,89.11,61802600,王家营(三),2,汉江
1790204400000,4,88.71,61802600,王家营(三),2,汉江
1790211600000,5,88.95,61802600,王家营(三),2,汉江
1790229600000,4,88.72,61802600,王家营(三),2,汉江
1790251200000,4,89.16,61802600,王家营(三),2,汉江
1790290800000,4,88.87,61802600,王家营(三),2,汉江
1790298000000,4,88.78,61802600,王家营(三),2,汉江
1790319600000,4,88.7,61802600,王家营(三),2,汉江
1790341200000,4,88.82,61802600,王家营(三),2,汉江
1790380800000,6,88.71,61802600,王家营(三),2,汉江
1790398800000,6,88.71,61802600,王家营(三),2,汉江
1790416800000,5,89.31,61802600,王家营(三),2,汉江
