q,rvnm,stcd,stnm,tm,wptn,z
0,566,汉江,61804110,皇庄,1744106400000,4,38.9
0,562,汉江,61804110,皇庄,1744110000000,4,38.89
0,558,汉江,61804110,皇庄,1744113600000,4,38.88
0,555,汉江,61804110,皇庄,1744117200000,4,38.87
0,555,汉江,61804110,皇庄,1744120800000,6,38.87
0,551,汉江,61804110,皇庄,1744124400000,4,38.86
0,562,汉江,61804110,皇庄,1744128000000,5,38.89
0,570,汉江,61804110,皇庄,1744131600000,5,38.91
0,574,汉江,61804110,皇庄,1744135200000,5,38.92
0,578,汉江,61804110,皇庄,1744138800000,5,38.93
0,582,汉江,61804110,皇庄,1744142400000,5,38.94
0,582,汉江,61804110,皇庄,1744146000000,6,38.94
0,582,汉江,61804110,皇庄,1744149600000,6,38.94
0,585,汉江,61804110,皇庄,1744153200000,5,38.95
0,585,汉江,61804110,皇庄,1744160400000,6,38.95
0,589,汉江,61804110,皇庄,1744164000000,5,38.96
0,589,汉江,61804110,皇庄,1744167600000,6,38.96
0,593,汉江,61804110,皇庄,1744171200000,5,38.97
0,593,汉江,61804110,皇庄,1744174800000,6,38.97
0,593,汉江,61804110,皇庄,1744178400000,6,38.97
0,593,汉江,61804110,皇庄,1744182000000,6,38.97
0,601,汉江,61804110,皇庄,1744185600000,5,38.99
0,613,汉江,61804110,皇庄,1744189200000,5,39.02
0,620,汉江,61804110,皇庄,1744192800000,5,39.04
0,624,汉江,61804110,皇庄,1744196400000,5,39.05
0,628,汉江,61804110,皇庄,1744200000000,5,39.06
0,0,汉江,61804110,皇庄,1744203600000,5,39.07
0,636,汉江,61804110,皇庄,1744207200000,5,39.08
0,636,汉江,61804110,皇庄,1744210800000,6,39.08
0,640,汉江,61804110,皇庄,1744214400000,5,39.09
0,640,汉江,61804110,皇庄,1744218000000,6,39.09
0,640,汉江,61804110,皇庄,1744221600000,6,39.09
0,643,汉江,61804110,皇庄,1744225200000,5,39.1
0,643,汉江,61804110,皇庄,1744228800000,6,39.1
0,643,汉江,61804110,皇庄,1744232400000,6,39.1
0,643,汉江,61804110,皇庄,1744236000000,6,39.1
0,647,汉江,61804110,皇庄,1744239600000,5,39.11
0,651,汉江,61804110,皇庄,1744246800000,5,39.12
0,647,汉江,61804110,皇庄,1744250400000,4,39.11
0,651,汉江,61804110,皇庄,1744254000000,5,39.12
0,651,汉江,61804110,皇庄,1744257600000,6,39.12
0,655,汉江,61804110,皇庄,1744261200000,5,39.13
0,655,汉江,61804110,皇庄,1744264800000,6,39.13
0,659,汉江,61804110,皇庄,1744268400000,5,39.14
0,659,汉江,61804110,皇庄,1744272000000,6,39.14
0,655,汉江,61804110,皇庄,1744275600000,4,39.13
0,647,汉江,61804110,皇庄,1744279200000,4,39.11
0,620,汉江,61804110,皇庄,1744282800000,4,39.04
0,601,汉江,61804110,皇庄,1744286400000,4,38.99
0,582,汉江,61804110,皇庄,1744290000000,4,38.94
0,570,汉江,61804110,皇庄,1744293600000,4,38.91
0,562,汉江,61804110,皇庄,1744297200000,4,38.89
0,555,汉江,61804110,皇庄,1744300800000,4,38.87
0,551,汉江,61804110,皇庄,1744304400000,4,38.86
0,547,汉江,61804110,皇庄,1744308000000,4,38.85
0,543,汉江,61804110,皇庄,1744311600000,4,38.84
0,539,汉江,61804110,皇庄,1744315200000,4,38.83
0,535,汉江,61804110,皇庄,1744318800000,4,38.82
0,531,汉江,61804110,皇庄,1744322400000,4,38.81
0,531,汉江,61804110,皇庄,1744326000000,6,38.81
0,528,汉江,61804110,皇庄,1744333200000,6,38.8
0,528,汉江,61804110,皇庄,1744336800000,6,38.8
0,531,汉江,61804110,皇庄,1744340400000,5,38.81
0,539,汉江,61804110,皇庄,1744344000000,5,38.83
0,547,汉江,61804110,皇庄,1744347600000,5,38.85
0,551,汉江,61804110,皇庄,1744351200000,5,38.86
0,566,汉江,61804110,皇庄,1744354800000,5,38.9
0,585,汉江,61804110,皇庄,1744358400000,5,38.95
0,601,汉江,61804110,皇庄,1744362000000,5,38.99
0,616,汉江,61804110,皇庄,1744365600000,5,39.03
0,624,汉江,61804110,皇庄,1744369200000,5,39.05
0,628,汉江,61804110,皇庄,1744372800000,5,39.06
0,0,汉江,61804110,皇庄,1744376400000,5,39.08
0,636,汉江,61804110,皇庄,1744380000000,6,39.08
0,636,汉江,61804110,皇庄,1744383600000,6,39.08
0,643,汉江,61804110,皇庄,1744387200000,5,39.1
0,643,汉江,61804110,皇庄,1744390800000,6,39.1
0,643,汉江,61804110,皇庄,1744394400000,6,39.1
0,647,汉江,61804110,皇庄,1744398000000,5,39.11
0,647,汉江,61804110,皇庄,1744401600000,6,39.11
0,647,汉江,61804110,皇庄,1744405200000,6,39.11
0,651,汉江,61804110,皇庄,1744408800000,5,39.12
0,663,汉江,61804110,皇庄,1744412400000,5,39.15
0,663,汉江,61804110,皇庄,1744419600000,4,39.15
0,640,汉江,61804110,皇庄,1744423200000,4,39.09
0,624,汉江,61804110,皇庄,1744426800000,4,39.05
0,605,汉江,61804110,皇庄,1744430400000,4,39
0,589,汉江,61804110,皇庄,1744434000000,4,38.96
0,585,汉江,61804110,皇庄,1744437600000,4,38.95
0,582,汉江,61804110,皇庄,1744441200000,4,38.94
0,570,汉江,61804110,皇庄,1744444800000,4,38.91
0,566,汉江,61804110,皇庄,1744448400000,4,38.9
0,562,汉江,61804110,皇庄,1744452000000,4,38.89
0,558,汉江,61804110,皇庄,1744455600000,4,38.88
0,558,汉江,61804110,皇庄,1744459200000,6,38.88
0,558,汉江,61804110,皇庄,1744462800000,6,38.88
0,555,汉江,61804110,皇庄,1744466400000,4,38.87
0,555,汉江,61804110,皇庄,1744470000000,6,38.87
0,551,汉江,61804110,皇庄,1744473600000,4,38.86
0,551,汉江,61804110,皇庄,1744477200000,6,38.86
0,543,汉江,61804110,皇庄,1744480800000,4,38.84
0,539,汉江,61804110,皇庄,1744484400000,4,38.83
0,535,汉江,61804110,皇庄,1744488000000,4,38.82
0,535,汉江,61804110,皇庄,1744491600000,6,38.82
