q,rvnm,stcd,stnm,tm,wptn,z
0,2820,金沙江,60103400,向家坝,1744178400000,4,267.31
0,2830,金沙江,60103400,向家坝,1744182000000,5,267.32
0,2830,金沙江,60103400,向家坝,1744185600000,6,267.32
0,3050,金沙江,60103400,向家坝,1744189200000,5,267.54
0,3930,金沙江,60103400,向家坝,1744196400000,5,268.37
0,3950,金沙江,60103400,向家坝,1744200000000,5,268.39
0,2890,金沙江,60103400,向家坝,1744210800000,4,267.38
0,1950,金沙江,60103400,向家坝,1744218000000,4,266.3
0,1930,金沙江,60103400,向家坝,1744221600000,4,266.26
0,1940,金沙江,60103400,向家坝,1744228800000,6,266.27
0,1930,金沙江,60103400,向家坝,1744232400000,4,266.26
0,1930,金沙江,60103400,向家坝,1744236000000,6,266.26
0,1920,金沙江,60103400,向家坝,1744239600000,4,266.24
0,2320,金沙江,60103400,向家坝,1744243200000,5,266.78
0,2850,金沙江,60103400,向家坝,1744254000000,5,267.34
0,2850,金沙江,60103400,向家坝,1744261200000,4,267.34
0,2870,金沙江,60103400,向家坝,1744264800000,5,267.36
0,2890,金沙江,60103400,向家坝,1744268400000,5,267.38
0,2990,金沙江,60103400,向家坝,1744272000000,5,267.48
0,3630,金沙江,60103400,向家坝,1744275600000,5,268.09
0,3950,金沙江,60103400,向家坝,1744282800000,5,268.39
0,3980,金沙江,60103400,向家坝,1744286400000,5,268.42
0,2950,金沙江,60103400,向家坝,1744297200000,4,267.44
0,2000,金沙江,60103400,向家坝,1744304400000,4,266.39
0,1950,金沙江,60103400,向家坝,1744308000000,4,266.29
0,1910,金沙江,60103400,向家坝,1744315200000,4,266.2
0,1890,金沙江,60103400,向家坝,1744318800000,4,266.17
0,1890,金沙江,60103400,向家坝,1744322400000,6,266.17
0,1890,金沙江,60103400,向家坝,1744326000000,4,266.16
0,2290,金沙江,60103400,向家坝,1744329600000,5,266.75
0,2900,金沙江,60103400,向家坝,1744340400000,5,267.39
0,2820,金沙江,60103400,向家坝,1744351200000,4,267.31
0,2820,金沙江,60103400,向家坝,1744354800000,6,267.31
0,2920,金沙江,60103400,向家坝,1744358400000,5,267.41
0,3530,金沙江,60103400,向家坝,1744362000000,5,268
0,3840,金沙江,60103400,向家坝,1744369200000,5,268.29
0,3890,金沙江,60103400,向家坝,1744372800000,5,268.33
0,2850,金沙江,60103400,向家坝,1744383600000,4,267.34
0,1950,金沙江,60103400,向家坝,1744390800000,4,266.29
0,1910,金沙江,60103400,向家坝,1744394400000,4,266.21
0,1910,金沙江,60103400,向家坝,1744401600000,5,266.21
0,1910,金沙江,60103400,向家坝,1744405200000,6,266.21
0,1910,金沙江,60103400,向家坝,1744408800000,4,266.2
0,1910,金沙江,60103400,向家坝,1744412400000,6,266.2
0,2270,金沙江,60103400,向家坝,1744416000000,5,266.73
0,2870,金沙江,60103400,向家坝,1744426800000,5,267.36
0,2870,金沙江,60103400,向家坝,1744434000000,5,267.36
