rvnm,stcd,stnm,tm,wptn,z
陆水,61705000,陆水水库(坝上),1740861300000,6,48.020
陆水,61705000,陆水水库(坝上),1740861600000,4,48.010
陆水,61705000,陆水水库(坝上),1740862200000,4,48.010
陆水,61705000,陆水水库(坝上),1740863100000,6,48.020
陆水,61705000,陆水水库(坝上),1740864000000,6,48.020
陆水,61705000,陆水水库(坝上),1740864600000,6,48.020
陆水,61705000,陆水水库(坝上),1740864900000,6,48.020
陆水,61705000,陆水水库(坝上),1740865500000,6,48.020
陆水,61705000,陆水水库(坝上),1740866700000,6,48.020
陆水,61705000,陆水水库(坝上),1740867900000,6,48.020
陆水,61705000,陆水水库(坝上),1740868500000,4,48.020
陆水,61705000,陆水水库(坝上),1740869100000,6,48.020
陆水,61705000,陆水水库(坝上),1740870300000,6,48.020
陆水,61705000,陆水水库(坝上),1740871200000,5,48.030
陆水,61705000,陆水水库(坝上),1740871800000,5,48.020
陆水,61705000,陆水水库(坝上),1740872400000,6,48.030
陆水,61705000,陆水水库(坝上),1740872700000,6,48.030
陆水,61705000,陆水水库(坝上),1740877800000,6,48.020
陆水,61705000,陆水水库(坝上),1740882300000,4,48.020
陆水,61705000,陆水水库(坝上),1740882600000,6,48.020
陆水,61705000,陆水水库(坝上),1740884700000,4,48.010
陆水,61705000,陆水水库(坝上),1740886200000,6,48.020
陆水,61705000,陆水水库(坝上),1740886800000,4,48.010
陆水,61705000,陆水水库(坝上),1740887400000,4,48.020
陆水,61705000,陆水水库(坝上),1740888600000,6,48.020
陆水,61705000,陆水水库(坝上),1740889800000,6,48.020
陆水,61705000,陆水水库(坝上),1740890400000,6,48.020
陆水,61705000,陆水水库(坝上),1740891000000,4,48.020
陆水,61705000,陆水水库(坝上),1740891900000,5,48.020
陆水,61705000,陆水水库(坝上),1740893100000,5,48.020
陆水,61705000,陆水水库(坝上),1740893700000,5,48.020
陆水,61705000,陆水水库(坝上),1740894300000,6,48.010
陆水,61705000,陆水水库(坝上),1740895800000,5,48.010
陆水,61705000,陆水水库(坝上),1740897000000,4,48.000
陆水,61705000,陆水水库(坝上),1740897600000,6,48.010
陆水,61705000,陆水水库(坝上),1740898200000,4,48.000
陆水,61705000,陆水水库(坝上),1740899100000,6,48.000
陆水,61705000,陆水水库(坝上),1740900000000,6,48.000
陆水,61705000,陆水水库(坝上),1740900300000,6,48.000
陆水,61705000,陆水水库(坝上),1740900900000,6,48.000
陆水,61705000,陆水水库(坝上),1740901500000,5,48.010
陆水,61705000,陆水水库(坝上),1740903000000,6,48.000
陆水,61705000,陆水水库(坝上),1740903900000,6,48.000
陆水,61705000,陆水水库(坝上),1740904500000,6,48.000
陆水,61705000,陆水水库(坝上),1740905100000,6,48.000
陆水,61705000,陆水水库(坝上),1740906300000,6,48.000
陆水,61705000,陆水水库(坝上),1740907200000,6,48.000
陆水,61705000,陆水水库(坝上),1740908100000,6,48.000
陆水,61705000,陆水水库(坝上),1740908400000,6,48.000
陆水,61705000,陆水水库(坝上),1740909000000,6,48.000
陆水,61705000,陆水水库(坝上),1740910200000,6,48.000
陆水,61705000,陆水水库(坝上),1740911100000,6,48.000
陆水,61705000,陆水水库(坝上),1740911700000,6,48.000
陆水,61705000,陆水水库(坝上),1740912300000,6,48.000
陆水,61705000,陆水水库(坝上),1740913500000,6,48.000
陆水,61705000,陆水水库(坝上),1740914400000,6,48.000
陆水,61705000,陆水水库(坝上),1740914700000,6,48.000
陆水,61705000,陆水水库(坝上),1740915300000,6,48.000
陆水,61705000,陆水水库(坝上),1740915900000,6,48.000
陆水,61705000,陆水水库(坝上),1740918000000,6,48.000
陆水,61705000,陆水水库(坝上),1740919500000,6,47.990
陆水,61705000,陆水水库(坝上),1740921000000,5,48.000
陆水,61705000,陆水水库(坝上),1740921600000,5,47.990
陆水,61705000,陆水水库(坝上),1740922200000,4,47.990
陆水,61705000,陆水水库(坝上),1740922800000,4,47.980
陆水,61705000,陆水水库(坝上),1740923400000,5,48.020
陆水,61705000,陆水水库(坝上),1740924300000,5,48.030
陆水,61705000,陆水水库(坝上),1740925200000,5,48.020
陆水,61705000,陆水水库(坝上),1740926100000,5,48.020
陆水,61705000,陆水水库(坝上),1740926400000,6,48.020
陆水,61705000,陆水水库(坝上),1740927000000,6,48.010
陆水,61705000,陆水水库(坝上),1740927900000,6,48.010
陆水,61705000,陆水水库(坝上),1740928200000,5,48.040
陆水,61705000,陆水水库(坝上),1740928800000,4,48.010
陆水,61705000,陆水水库(坝上),1740929400000,5,48.030
陆水,61705000,陆水水库(坝上),1740930000000,5,48.030
陆水,61705000,陆水水库(坝上),1740930600000,6,48.020
陆水,61705000,陆水水库(坝上),1740931800000,4,48.010
陆水,61705000,陆水水库(坝上),1740932700000,4,48.000
陆水,61705000,陆水水库(坝上),1740933300000,5,48.050
陆水,61705000,陆水水库(坝上),1740933900000,4,48.010
