q,rvnm,stcd,stnm,tm,wptn,z
525,清江,61004810,高坝洲,1774972800000,6,40.580
528,清江,61004810,高坝洲,1774976400000,5,40.590
519,清江,61004810,高坝洲,1774980000000,4,40.560
525,清江,61004810,高坝洲,1774983600000,5,40.580
525,清江,61004810,高坝洲,1774987200000,6,40.580
528,清江,61004810,高坝洲,1774990800000,5,40.590
525,清江,61004810,高坝洲,1774994400000,4,40.580
522,清江,61004810,高坝洲,1774998000000,4,40.570
223,清江,61004810,高坝洲,1775008800000,4,39.330
247,清江,61004810,高坝洲,1775019600000,5,39.440
124,清江,61004810,高坝洲,1775023200000,4,38.850
39.9,清江,61004810,高坝洲,1775030400000,4,38.450
232,清江,61004810,高坝洲,1775034000000,5,39.370
429,清江,61004810,高坝洲,1775037600000,5,40.210
519,清江,61004810,高坝洲,1775041200000,5,40.560
531,清江,61004810,高坝洲,1775044800000,5,40.600
528,清江,61004810,高坝洲,1775052000000,4,40.590
531,清江,61004810,高坝洲,1775055600000,5,40.600
534,清江,61004810,高坝洲,1775059200000,5,40.610
531,清江,61004810,高坝洲,1775062800000,4,40.600
358,清江,61004810,高坝洲,1775066400000,4,39.920
145,清江,61004810,高坝洲,1775070000000,4,38.950
57.4,清江,61004810,高坝洲,1775073600000,4,38.530
48.7,清江,61004810,高坝洲,1775077200000,4,38.490
48.7,清江,61004810,高坝洲,1775080800000,6,38.490
136,清江,61004810,高坝洲,1775084400000,5,38.910
370,清江,61004810,高坝洲,1775088000000,5,39.970
528,清江,61004810,高坝洲,1775098800000,5,40.590
