oq,rvnm,stcd,stnm,tm,wptn,z
7780,长江干流,60106980,三峡水库,1774969200000,6,165.140
8340,长江干流,60106980,三峡水库,1774976400000,4,165.120
8340,长江干流,60106980,三峡水库,1774983600000,4,165.070
8340,长江干流,60106980,三峡水库,1774987200000,4,165.060
