q,rvnm,stcd,stnm,tm,wptn,z
582,修河,62513000,虬津,1748707200000,5,17.770
595,修河,62513000,虬津,1748708700000,5,17.810
608,修河,62513000,虬津,1748710800000,5,17.850
615,修河,62513000,虬津,1748711700000,5,17.870
625,修河,62513000,虬津,1748714400000,5,17.900
634,修河,62513000,虬津,1748715900000,5,17.930
641,修河,62513000,虬津,1748718000000,5,17.950
648,修河,62513000,虬津,1748719200000,5,17.970
657,修河,62513000,虬津,1748721600000,5,18.000
664,修河,62513000,虬津,1748723400000,5,18.020
667,修河,62513000,虬津,1748725200000,5,18.030
674,修河,62513000,虬津,1748726400000,5,18.050
680,修河,62513000,虬津,1748728800000,5,18.070
687,修河,62513000,虬津,1748730900000,5,18.090
684,修河,62513000,虬津,1748732400000,5,18.080
677,修河,62513000,虬津,1748733300000,4,18.060
671,修河,62513000,虬津,1748734200000,4,18.040
664,修河,62513000,虬津,1748735100000,4,18.020
685,修河,62513000,虬津,1748739600000,4,17.990
640,修河,62513000,虬津,1748747400000,4,17.860
602,修河,62513000,虬津,1748749800000,4,17.750
582,修河,62513000,虬津,1748752500000,4,17.690
561,修河,62513000,虬津,1748754900000,4,17.630
547,修河,62513000,虬津,1748756100000,4,17.590
479,修河,62513000,虬津,1748756700000,4,17.570
454,修河,62513000,虬津,1748758500000,4,17.490
442,修河,62513000,虬津,1748759700000,4,17.450
436,修河,62513000,虬津,1748760000000,4,17.430
420,修河,62513000,虬津,1748761200000,4,17.380
408,修河,62513000,虬津,1748762100000,4,17.340
396,修河,62513000,虬津,1748763000000,4,17.300
390,修河,62513000,虬津,1748763600000,4,17.280
375,修河,62513000,虬津,1748764800000,4,17.230
357,修河,62513000,虬津,1748766300000,4,17.170
342,修河,62513000,虬津,1748767500000,4,17.120
301,修河,62513000,虬津,1748768700000,4,17.070
296,修河,62513000,虬津,1748769600000,4,17.050
289,修河,62513000,虬津,1748770200000,4,17.020
272,修河,62513000,虬津,1748772300000,4,16.950
262,修河,62513000,虬津,1748773500000,4,16.910
257,修河,62513000,虬津,1748774400000,4,16.890
252,修河,62513000,虬津,1748774700000,4,16.870
247,修河,62513000,虬津,1748775600000,4,16.850
240,修河,62513000,虬津,1748776500000,4,16.820
233,修河,62513000,虬津,1748777400000,4,16.800
228,修河,62513000,虬津,1748778000000,4,16.780
216,修河,62513000,虬津,1748780100000,4,16.730
203,修河,62513000,虬津,1748782500000,4,16.670
196,修河,62513000,虬津,1748783700000,4,16.640
192,修河,62513000,虬津,1748784900000,4,16.620
185,修河,62513000,虬津,1748786400000,4,16.590
181,修河,62513000,虬津,1748787600000,4,16.570
177,修河,62513000,虬津,1748788500000,4,16.550
173,修河,62513000,虬津,1748790000000,4,16.530
168,修河,62513000,虬津,1748790900000,4,16.510
164,修河,62513000,虬津,1748792100000,4,16.490
158,修河,62513000,虬津,1748793600000,4,16.460
154,修河,62513000,虬津,1748795100000,4,16.440
149,修河,62513000,虬津,1748796000000,4,16.420
147,修河,62513000,虬津,1748797200000,4,16.410
143,修河,62513000,虬津,1748798700000,4,16.390
139,修河,62513000,虬津,1748800800000,4,16.370
135,修河,62513000,虬津,1748802000000,4,16.350
130,修河,62513000,虬津,1748804400000,4,16.330
126,修河,62513000,虬津,1748805000000,4,16.310
122,修河,62513000,虬津,1748808000000,4,16.290
118,修河,62513000,虬津,1748809800000,4,16.270
116,修河,62513000,虬津,1748811600000,4,16.260
111,修河,62513000,虬津,1748813700000,4,16.240
109,修河,62513000,虬津,1748815200000,4,16.230
105,修河,62513000,虬津,1748817600000,4,16.210
105,修河,62513000,虬津,1748818800000,4,16.210
97,修河,62513000,虬津,1748826000000,4,16.170
153,修河,62513000,虬津,1748829600000,4,16.160
173,修河,62513000,虬津,1748835900000,5,16.250
187,修河,62513000,虬津,1748837700000,5,16.310
201,修河,62513000,虬津,1748839500000,5,16.370
213,修河,62513000,虬津,1748840400000,5,16.420
228,修河,62513000,虬津,1748842200000,5,16.470
236,修河,62513000,虬津,1748842500000,5,16.500
258,修河,62513000,虬津,1748845200000,5,16.580
266,修河,62513000,虬津,1748846100000,5,16.610
278,修河,62513000,虬津,1748847600000,5,16.650
289,修河,62513000,虬津,1748848800000,5,16.690
294,修河,62513000,虬津,1748849400000,5,16.710
311,修河,62513000,虬津,1748851800000,5,16.770
322,修河,62513000,虬津,1748853600000,5,16.810
330,修河,62513000,虬津,1748854800000,5,16.840
336,修河,62513000,虬津,1748856300000,5,16.860
341,修河,62513000,虬津,1748857200000,5,16.880
347,修河,62513000,虬津,1748858400000,5,16.900
353,修河,62513000,虬津,1748859600000,5,16.920
358,修河,62513000,虬津,1748860800000,5,16.940
369,修河,62513000,虬津,1748862900000,5,16.980
375,修河,62513000,虬津,1748864700000,5,17.000
383,修河,62513000,虬津,1748867400000,5,17.030
389,修河,62513000,虬津,1748869200000,5,17.050
394,修河,62513000,虬津,1748870400000,5,17.070
400,修河,62513000,虬津,1748872800000,5,17.090
405,修河,62513000,虬津,1748874600000,5,17.110
411,修河,62513000,虬津,1748876400000,5,17.130
417,修河,62513000,虬津,1748879100000,5,17.150
419,修河,62513000,虬津,1748880000000,5,17.160
428,修河,62513000,虬津,1748883600000,5,17.190
425,修河,62513000,虬津,1748887200000,4,17.180
414,修河,62513000,虬津,1748889600000,4,17.140
405,修河,62513000,虬津,1748890800000,4,17.110
400,修河,62513000,虬津,1748891700000,4,17.090
394,修河,62513000,虬津,1748892600000,4,17.070
383,修河,62513000,虬津,1748894400000,4,17.030
372,修河,62513000,虬津,1748895900000,4,16.990
366,修河,62513000,虬津,1748896800000,4,16.970
355,修河,62513000,虬津,1748898000000,4,16.930
350,修河,62513000,虬津,1748898900000,4,16.910
344,修河,62513000,虬津,1748900100000,4,16.890
339,修河,62513000,虬津,1748900700000,4,16.870
333,修河,62513000,虬津,1748901600000,4,16.850
328,修河,62513000,虬津,1748902800000,4,16.830
322,修河,62513000,虬津,1748903700000,4,16.810
305,修河,62513000,虬津,1748906400000,4,16.750
280,修河,62513000,虬津,1748912400000,4,16.660
255,修河,62513000,虬津,1748919000000,4,16.570
