q,rvnm,stcd,stnm,tm,wptn,z
3.34,清江,61004810,高坝洲,1730390400000,4,38.310
0.66,清江,61004810,高坝洲,1730394000000,4,38.260
0.29,清江,61004810,高坝洲,1730397600000,4,38.240
0.28,清江,61004810,高坝洲,1730401200000,4,38.220
0.17,清江,61004810,高坝洲,1730404800000,4,38.210
0.17,清江,61004810,高坝洲,1730408400000,4,38.200
清江,61004810,高坝洲,1730412000000,4,38.190
0.17,清江,61004810,高坝洲,1730415600000,4,38.180
0.16,清江,61004810,高坝洲,1730422800000,6,38.170
0.16,清江,61004810,高坝洲,1730426400000,4,38.160
0.17,清江,61004810,高坝洲,1730430000000,4,38.150
0.16,清江,61004810,高坝洲,1730433600000,4,38.140
0.17,清江,61004810,高坝洲,1730437200000,6,38.140
0.17,清江,61004810,高坝洲,1730440800000,4,38.130
0.17,清江,61004810,高坝洲,1730444400000,4,38.120
0.33,清江,61004810,高坝洲,1730448000000,4,38.110
212,清江,61004810,高坝洲,1730451600000,6,38.110
335,清江,61004810,高坝洲,1730455200000,5,39.100
清江,61004810,高坝洲,1730458800000,5,39.520
359,清江,61004810,高坝洲,1730462400000,5,39.580
359,清江,61004810,高坝洲,1730466000000,5,39.600
58.8,清江,61004810,高坝洲,1730469600000,4,38.940
15.5,清江,61004810,高坝洲,1730473200000,4,38.440
4.01,清江,61004810,高坝洲,1730476800000,4,38.300
1.73,清江,61004810,高坝洲,1730480400000,4,38.260
1.07,清江,61004810,高坝洲,1730484000000,4,38.230
1.74,清江,61004810,高坝洲,1730487600000,4,38.220
1.29,清江,61004810,高坝洲,1730491200000,4,38.200
清江,61004810,高坝洲,1730494800000,4,38.190
清江,61004810,高坝洲,1730498400000,4,38.180
0.17,清江,61004810,高坝洲,1730502000000,6,38.180
清江,61004810,高坝洲,1730509200000,4,38.160
1.39,清江,61004810,高坝洲,1730512800000,6,38.160
1.54,清江,61004810,高坝洲,1730516400000,4,38.150
0.17,清江,61004810,高坝洲,1730520000000,6,38.150
清江,61004810,高坝洲,1730523600000,6,38.150
0.41,清江,61004810,高坝洲,1730527200000,4,38.130
0.17,清江,61004810,高坝洲,1730530800000,6,38.130
0.17,清江,61004810,高坝洲,1730534400000,4,38.120
清江,61004810,高坝洲,1730538000000,6,38.120
清江,61004810,高坝洲,1730541600000,5,39.080
清江,61004810,高坝洲,1730545200000,5,39.590
377,清江,61004810,高坝洲,1730548800000,5,39.670
384,清江,61004810,高坝洲,1730552400000,6,39.670
清江,61004810,高坝洲,1730556000000,4,38.990
17.7,清江,61004810,高坝洲,1730559600000,4,38.460
4.8,清江,61004810,高坝洲,1730563200000,4,38.310
清江,61004810,高坝洲,1730566800000,4,38.260
0.79,清江,61004810,高坝洲,1730570400000,4,38.240
清江,61004810,高坝洲,1730574000000,4,38.220
0.36,清江,61004810,高坝洲,1730577600000,4,38.210
清江,61004810,高坝洲,1730581200000,4,38.200
清江,61004810,高坝洲,1730584800000,4,38.190
0.69,清江,61004810,高坝洲,1730588400000,4,38.180
1.03,清江,61004810,高坝洲,1730595600000,4,38.170
1.37,清江,61004810,高坝洲,1730599200000,4,38.160
0.34,清江,61004810,高坝洲,1730602800000,6,38.160
0.17,清江,61004810,高坝洲,1730606400000,4,38.150
0.17,清江,61004810,高坝洲,1730610000000,4,38.140
0.29,清江,61004810,高坝洲,1730613600000,4,38.130
清江,61004810,高坝洲,1730617200000,6,38.130
0.17,清江,61004810,高坝洲,1730620800000,4,38.120
215,清江,61004810,高坝洲,1730624400000,4,38.110
356,清江,61004810,高坝洲,1730628000000,5,39.070
清江,61004810,高坝洲,1730631600000,5,39.590
381,清江,61004810,高坝洲,1730635200000,5,39.650
383,清江,61004810,高坝洲,1730638800000,5,39.670
清江,61004810,高坝洲,1730642400000,4,38.970
清江,61004810,高坝洲,1730646000000,4,38.450
4.46,清江,61004810,高坝洲,1730649600000,4,38.300
清江,61004810,高坝洲,1730653200000,4,38.260
1.07,清江,61004810,高坝洲,1730656800000,4,38.230
清江,61004810,高坝洲,1730660400000,4,38.220
0.92,清江,61004810,高坝洲,1730664000000,4,38.210
清江,61004810,高坝洲,1730667600000,4,38.200
0.84,清江,61004810,高坝洲,1730671200000,4,38.180
0.16,清江,61004810,高坝洲,1730674800000,6,38.180
0.76,清江,61004810,高坝洲,1730682000000,4,38.160
0.11,清江,61004810,高坝洲,1730685600000,4,38.150
清江,61004810,高坝洲,1730689200000,6,38.150
0.17,清江,61004810,高坝洲,1730692800000,4,38.140
0.17,清江,61004810,高坝洲,1730696400000,4,38.130
0.34,清江,61004810,高坝洲,1730700000000,6,38.130
0.56,清江,61004810,高坝洲,1730703600000,4,38.120
0.17,清江,61004810,高坝洲,1730707200000,4,38.110
214,清江,61004810,高坝洲,1730710800000,6,38.110
322,清江,61004810,高坝洲,1730714400000,5,39.120
清江,61004810,高坝洲,1730718000000,5,39.520
358,清江,61004810,高坝洲,1730721600000,5,39.570
356,清江,61004810,高坝洲,1730725200000,5,39.590
71.1,清江,61004810,高坝洲,1730728800000,4,39.010
19,清江,61004810,高坝洲,1730732400000,4,38.470
4.73,清江,61004810,高坝洲,1730736000000,4,38.320
1.79,清江,61004810,高坝洲,1730739600000,4,38.270
1.62,清江,61004810,高坝洲,1730743200000,4,38.240
清江,61004810,高坝洲,1730746800000,4,38.220
1.28,清江,61004810,高坝洲,1730750400000,4,38.210
1.28,清江,61004810,高坝洲,1730754000000,4,38.200
清江,61004810,高坝洲,1730757600000,4,38.190
0.87,清江,61004810,高坝洲,1730761200000,4,38.180
清江,61004810,高坝洲,1730768400000,6,38.170
1.54,清江,61004810,高坝洲,1730772000000,4,38.160
1.39,清江,61004810,高坝洲,1730775600000,4,38.150
0.35,清江,61004810,高坝洲,1730779200000,4,38.140
清江,61004810,高坝洲,1730782800000,6,38.140
0.17,清江,61004810,高坝洲,1730786400000,4,38.130
88.4,清江,61004810,高坝洲,1730790000000,6,38.130
147,清江,61004810,高坝洲,1730793600000,5,38.600
151,清江,61004810,高坝洲,1730797200000,5,38.780
160,清江,61004810,高坝洲,1730800800000,5,38.820
清江,61004810,高坝洲,1730804400000,5,39.280
205,清江,61004810,高坝洲,1730808000000,4,39.120
178,清江,61004810,高坝洲,1730811600000,4,39.050
清江,61004810,高坝洲,1730815200000,4,38.920
157,清江,61004810,高坝洲,1730818800000,4,38.880
161,清江,61004810,高坝洲,1730822400000,4,38.860
157,清江,61004810,高坝洲,1730826000000,4,38.850
154,清江,61004810,高坝洲,1730829600000,6,38.850
162,清江,61004810,高坝洲,1730833200000,6,38.850
160,清江,61004810,高坝洲,1730836800000,6,38.850
161,清江,61004810,高坝洲,1730840400000,4,38.840
清江,61004810,高坝洲,1730844000000,6,38.840
清江,61004810,高坝洲,1730847600000,6,38.840
清江,61004810,高坝洲,1730854800000,6,38.840
157,清江,61004810,高坝洲,1730858400000,6,38.840
156,清江,61004810,高坝洲,1730862000000,6,38.840
159,清江,61004810,高坝洲,1730865600000,6,38.840
清江,61004810,高坝洲,1730869200000,4,38.830
154,清江,61004810,高坝洲,1730872800000,6,38.830
155,清江,61004810,高坝洲,1730876400000,4,38.820
154,清江,61004810,高坝洲,1730880000000,6,38.820
154,清江,61004810,高坝洲,1730883600000,6,38.820
159,清江,61004810,高坝洲,1730887200000,6,38.820
清江,61004810,高坝洲,1730890800000,6,38.820
155,清江,61004810,高坝洲,1730894400000,6,38.820
154,清江,61004810,高坝洲,1730898000000,6,38.820
清江,61004810,高坝洲,1730901600000,6,38.820
149,清江,61004810,高坝洲,1730905200000,6,38.820
155,清江,61004810,高坝洲,1730908800000,5,38.830
159,清江,61004810,高坝洲,1730912400000,5,38.850
159,清江,61004810,高坝洲,1730916000000,6,38.850
清江,61004810,高坝洲,1730919600000,6,38.850
159,清江,61004810,高坝洲,1730923200000,6,38.850
161,清江,61004810,高坝洲,1730926800000,6,38.850
165,清江,61004810,高坝洲,1730930400000,5,38.860
清江,61004810,高坝洲,1730934000000,4,38.850
清江,61004810,高坝洲,1730941200000,6,38.850
161,清江,61004810,高坝洲,1730944800000,6,38.850
161,清江,61004810,高坝洲,1730948400000,6,38.850
157,清江,61004810,高坝洲,1730952000000,6,38.850
清江,61004810,高坝洲,1730955600000,6,38.850
159,清江,61004810,高坝洲,1730959200000,6,38.850
158,清江,61004810,高坝洲,1730962800000,6,38.850
159,清江,61004810,高坝洲,1730966400000,6,38.850
161,清江,61004810,高坝洲,1730970000000,5,38.860
166,清江,61004810,高坝洲,1730973600000,5,38.870
清江,61004810,高坝洲,1730977200000,6,38.870
164,清江,61004810,高坝洲,1730980800000,6,38.870
160,清江,61004810,高坝洲,1730984400000,6,38.870
清江,61004810,高坝洲,1730988000000,6,38.870
清江,61004810,高坝洲,1730991600000,6,38.870
158,清江,61004810,高坝洲,1730995200000,4,38.850
49.3,清江,61004810,高坝洲,1730998800000,4,38.570
9.37,清江,61004810,高坝洲,1731002400000,4,38.330
清江,61004810,高坝洲,1731006000000,4,38.270
1.8,清江,61004810,高坝洲,1731009600000,4,38.240
0.8,清江,61004810,高坝洲,1731013200000,4,38.220
清江,61004810,高坝洲,1731016800000,4,38.210
