q,rvnm,stcd,stnm,tm,wptn,z
0.34,清江,61004810,高坝洲,1726635600000,4,38.490
0.21,清江,61004810,高坝洲,1727071200000,4,38.410
清江,61004810,高坝洲,1727074800000,5,38.420
0.31,清江,61004810,高坝洲,1727078400000,5,38.430
0.31,清江,61004810,高坝洲,1727082000000,4,38.420
0.78,清江,61004810,高坝洲,1727085600000,5,38.480
清江,61004810,高坝洲,1727089200000,5,39.090
368,清江,61004810,高坝洲,1727092800000,5,39.590
370,清江,61004810,高坝洲,1727096400000,5,39.690
清江,61004810,高坝洲,1727100000000,5,39.710
清江,61004810,高坝洲,1727103600000,4,39.110
